attribute,mode,Q,R,rmse,norm_rmse
Water Temperature,acceleration,1.0,0.2,3.104880562159965,0.9644046543371462
Water Temperature,acceleration,2.0,0.01,3.140773509879003,0.9755533362735744
Water Temperature,acceleration,2.0,0.02,3.139764893334989,0.9752400506350404
Water Temperature,acceleration,2.0,0.05,3.136787747328128,0.9743153215164231
Water Temperature,acceleration,2.0,0.1,3.131977027455511,0.9728210673758915
Water Temperature,acceleration,2.0,0.2,3.122852475856574,0.9699868971543378
Turbidity,position,0.01,0.01,0.9431225896879311,0.4720993056835418
Turbidity,position,0.01,0.02,0.9626109793497011,0.4818546178018278
Turbidity,position,0.01,0.05,1.0124353199134537,0.5067952107252474
Turbidity,position,0.01,0.1,1.0733578706488007,0.5372912397856313
Turbidity,position,0.01,0.2,1.155324951870753,0.5783215390880734
Turbidity,position,0.05,0.01,0.9288826777492695,0.46497122645742406
Turbidity,position,0.05,0.02,0.9318862205028697,0.46647471122607403
Turbidity,position,0.05,0.05,0.9431225896879311,0.4720993056835418
Turbidity,position,0.05,0.1,0.9626109793497011,0.4818546178018278
Turbidity,position,0.05,0.2,0.9972796265855954,0.49920871839066966
Turbidity,position,0.1,0.01,0.9277464657566363,0.4644024723010753
Turbidity,position,0.1,0.02,0.9288826777492695,0.46497122645742406
Turbidity,position,0.1,0.05,0.9336093993811485,0.46733728366458716
Turbidity,position,0.1,0.1,0.9431225896879311,0.4720993056835418
Turbidity,position,0.1,0.2,0.9626109793497011,0.4818546178018278
Turbidity,position,0.2,0.01,0.9273207680576196,0.46418938060935433
Turbidity,position,0.2,0.02,0.9277464657566363,0.4644024723010753
Turbidity,position,0.2,0.05,0.9295593458782662,0.465309946531962
Turbidity,position,0.2,0.1,0.9336093993811485,0.46733728366458716
Turbidity,position,0.2,0.2,0.9431225896879311,0.4720993056835418
Turbidity,position,0.5,0.01,0.9271238549240108,0.46409081171208355
Turbidity,position,0.5,0.02,0.927249815855608,0.46415386403317144
Turbidity,position,0.5,0.05,0.9277464657566363,0.4644024723010753
Turbidity,position,0.5,0.1,0.9288826777492697,0.46497122645742417
Turbidity,position,0.5,0.2,0.9318862205028697,0.46647471122607403
Turbidity,position,1.0,0.01,0.9270693428756039,0.46406352459110306
Turbidity,position,1.0,0.02,0.9271238549240108,0.46409081171208355
Turbidity,position,1.0,0.05,0.9273207680576196,0.46418938060935433
Turbidity,position,1.0,0.1,0.9277464657566363,0.4644024723010753
Turbidity,position,1.0,0.2,0.9288826777492697,0.46497122645742417
Turbidity,position,2.0,0.01,0.9270443198426795,0.4640509988000777
Turbidity,position,2.0,0.02,0.9270693428756039,0.46406352459110306
Turbidity,position,2.0,0.05,0.9271532762869593,0.4641055391771789
Turbidity,position,2.0,0.1,0.9273207680576196,0.46418938060935433
Turbidity,position,2.0,0.2,0.9277464657566363,0.4644024723010753
Turbidity,velocity,0.01,0.01,0.9849484914797878,0.49303611645599643
Turbidity,velocity,0.01,0.02,0.9891605931112251,0.49514457009438084
Turbidity,velocity,0.01,0.05,1.0057691514171554,0.5034583237149243
Turbidity,velocity,0.01,0.1,1.032456530837436,0.5168172374262336
Turbidity,velocity,0.01,0.2,1.0729101689233298,0.5370671335283332
Turbidity,velocity,0.05,0.01,0.98357412431186,0.4923481488547245
Turbidity,velocity,0.05,0.02,0.9836187966665457,0.4923705105157227
Turbidity,velocity,0.05,0.05,0.9849484914797879,0.4930361164559965
Turbidity,velocity,0.05,0.1,0.989160593111225,0.4951445700943808
Turbidity,velocity,0.05,0.2,1.0000499742667943,0.5005954725953683
Turbidity,velocity,0.1,0.01,0.983669457805137,0.49239586998501716
Turbidity,velocity,0.1,0.02,0.98357412431186,0.4923481488547245
Turbidity,velocity,0.1,0.05,0.9837340497124469,0.4924282027855748
Turbidity,velocity,0.1,0.1,0.9849484914797879,0.4930361164559965
Turbidity,velocity,0.1,0.2,0.989160593111225,0.4951445700943808
Turbidity,velocity,0.2,0.01,0.9837543803889807,0.49243837972161747
Turbidity,velocity,0.2,0.02,0.983669457805137,0.49239586998501716
Turbidity,velocity,0.2,0.05,0.9835586481694092,0.49234040195502604
Turbidity,velocity,0.2,0.1,0.9837340497124469,0.4924282027855748
Turbidity,velocity,0.2,0.2,0.9849484914797879,0.4930361164559965
Turbidity,velocity,0.5,0.01,0.9838191296071318,0.4924707912673348
Turbidity,velocity,0.5,0.02,0.983774751000415,0.4924485766478916
Turbidity,velocity,0.5,0.05,0.9836694578051371,0.4923958699850172
Turbidity,velocity,0.5,0.1,0.98357412431186,0.4923481488547245
